id,order_number,customer_id,order_date,status,amount,expected_delivery,actual_delivery,priority,created_at,updated_at
4686,DC-ORD-7321,3100,2015-04-17,CLOSED,213.88,2015-04-18,2015-04-19,High,2015-04-17 20:31:00,2015-04-17 20:31:00
4687,DC-ORD-53421,785,2017-02-18,CLOSED,396.34,2017-02-19,2017-02-20,High,2017-02-18 19:24:00,2017-02-18 19:24:00
4688,DC-ORD-56954,3227,2017-04-11,CLOSED,246.28,2017-04-12,2017-04-13,High,2017-04-11 09:10:00,2017-04-11 09:10:00
4689,DC-ORD-10218,3495,2015-05-30,CLOSED,779.81,2015-05-31,2015-06-01,High,2015-05-30 03:28:00,2015-05-30 03:28:00
4690,DC-ORD-60059,4001,2017-05-26,CLOSED,652.35,2017-05-27,2017-05-28,High,2017-05-26 16:59:00,2017-05-26 16:59:00
4691,DC-ORD-6364,1350,2015-04-03,CLOSED,345.71,2015-04-04,2015-04-05,High,2015-04-03 21:14:00,2015-04-03 21:14:00
4692,DC-ORD-60495,4002,2017-06-02,CLOSED,418.09,2017-06-03,2017-06-04,High,2017-06-02 01:44:00,2017-06-02 01:44:00
4693,DC-ORD-6572,4003,2015-04-06,CLOSED,607.0,2015-04-07,2015-04-08,High,2015-04-06 22:06:00,2015-04-06 22:06:00
4694,DC-ORD-53813,4004,2017-02-24,CLOSED,163.77,2017-02-25,2017-02-26,High,2017-02-24 12:44:00,2017-02-24 12:44:00
4695,DC-ORD-54511,4005,2017-03-06,CLOSED,870.39,2017-03-07,2017-03-08,High,2017-03-06 17:16:00,2017-03-06 17:16:00
4696,DC-ORD-3874,4006,2015-02-26,CLOSED,587.7,2015-02-27,2015-02-28,High,2015-02-26 12:53:00,2015-02-26 12:53:00
4697,DC-ORD-1431,4007,2015-01-21,CLOSED,57.59,2015-01-22,2015-01-23,High,2015-01-21 20:59:00,2015-01-21 20:59:00
4698,DC-ORD-58059,4008,2017-04-27,CLOSED,608.45,2017-04-28,2017-04-29,High,2017-04-27 12:18:00,2017-04-27 12:18:00
4699,DC-ORD-5514,4009,2015-03-22,CLOSED,408.91,2015-03-23,2015-03-24,High,2015-03-22 11:26:00,2015-03-22 11:26:00
4700,DC-ORD-6983,4010,2015-04-12,CLOSED,123.49,2015-04-13,2015-04-14,High,2015-04-12 22:06:00,2015-04-12 22:06:00
4701,DC-ORD-8605,1675,2015-05-06,CLOSED,497.82,2015-05-07,2015-05-08,High,2015-05-06 14:21:00,2015-05-06 14:21:00
4702,DC-ORD-59467,4011,2017-05-18,CLOSED,288.82,2017-05-19,2017-05-20,High,2017-05-18 01:35:00,2017-05-18 01:35:00
4703,DC-ORD-58307,1687,2017-05-01,CLOSED,1161.85,2017-05-02,2017-05-03,High,2017-05-01 03:11:00,2017-05-01 03:11:00
4704,DC-ORD-3609,645,2015-02-22,CLOSED,203.09,2015-02-23,2015-02-24,High,2015-02-22 16:02:00,2015-02-22 16:02:00
4705,DC-ORD-59753,4012,2017-05-22,CLOSED,500.12,2017-05-23,2017-05-24,High,2017-05-22 05:47:00,2017-05-22 05:47:00
4706,DC-ORD-5488,3783,2015-03-22,CLOSED,313.08,2015-03-23,2015-03-24,High,2015-03-22 02:20:00,2015-03-22 02:20:00
4707,DC-ORD-51393,4013,2017-01-20,CLOSED,583.95,2017-01-21,2017-01-22,High,2017-01-20 04:54:00,2017-01-20 04:54:00
4708,DC-ORD-54626,4014,2017-03-08,CLOSED,113.09,2017-03-09,2017-03-10,High,2017-03-08 09:34:00,2017-03-08 09:34:00
4709,DC-ORD-9497,4015,2015-05-19,CLOSED,510.33,2015-05-20,2015-05-21,High,2015-05-19 14:52:00,2015-05-19 14:52:00
4710,DC-ORD-58482,4016,2017-05-03,CLOSED,703.48,2017-05-04,2017-05-05,High,2017-05-03 16:29:00,2017-05-03 16:29:00
4711,DC-ORD-57516,4017,2017-04-19,CLOSED,50.39,2017-04-20,2017-04-21,High,2017-04-19 14:03:00,2017-04-19 14:03:00
4712,DC-ORD-3287,4018,2015-02-17,CLOSED,1116.53,2015-02-18,2015-02-19,High,2015-02-17 23:13:00,2015-02-17 23:13:00
4713,DC-ORD-61313,1691,2017-06-14,CLOSED,462.35,2017-06-15,2017-06-16,High,2017-06-14 00:19:00,2017-06-14 00:19:00
4714,DC-ORD-2317,4019,2015-02-03,CLOSED,109.19,2015-02-04,2015-02-05,High,2015-02-03 19:23:00,2015-02-03 19:23:00
4715,DC-ORD-54201,4020,2017-03-02,CLOSED,694.62,2017-03-03,2017-03-04,High,2017-03-02 04:40:00,2017-03-02 04:40:00
4716,DC-ORD-4009,4021,2015-02-28,CLOSED,626.01,2015-03-01,2015-03-02,High,2015-02-28 12:10:00,2015-02-28 12:10:00
4717,DC-ORD-7022,4022,2015-04-13,CLOSED,107.89,2015-04-14,2015-04-15,High,2015-04-13 11:46:00,2015-04-13 11:46:00
4718,DC-ORD-52958,2060,2017-02-12,CLOSED,556.55,2017-02-13,2017-02-14,High,2017-02-12 01:11:00,2017-02-12 01:11:00
4719,DC-ORD-7948,4023,2015-04-27,CLOSED,151.57,2015-04-28,2015-04-29,High,2015-04-27 00:11:00,2015-04-27 00:11:00
4720,DC-ORD-5356,4024,2015-03-20,CLOSED,719.27,2015-03-21,2015-03-22,High,2015-03-20 04:05:00,2015-03-20 04:05:00
4721,DC-ORD-4986,4025,2015-03-14,CLOSED,986.72,2015-03-15,2015-03-16,High,2015-03-14 18:28:00,2015-03-14 18:28:00
4722,DC-ORD-53205,4026,2017-02-15,CLOSED,911.94,2017-02-16,2017-02-17,High,2017-02-15 15:43:00,2017-02-15 15:43:00
4723,DC-ORD-53423,4027,2017-02-18,CLOSED,289.41,2017-02-19,2017-02-20,High,2017-02-18 20:06:00,2017-02-18 20:06:00
4724,DC-ORD-3326,1466,2015-02-18,CLOSED,1109.9,2015-02-19,2015-02-20,High,2015-02-18 12:53:00,2015-02-18 12:53:00
4725,DC-ORD-1071,1710,2015-01-16,CLOSED,283.44,2015-01-17,2015-01-18,High,2015-01-16 14:52:00,2015-01-16 14:52:00
4726,DC-ORD-4129,4028,2015-03-02,CLOSED,821.42,2015-03-03,2015-03-04,High,2015-03-02 06:13:00,2015-03-02 06:13:00
4727,DC-ORD-4669,4029,2015-03-10,CLOSED,229.99,2015-03-11,2015-03-12,High,2015-03-10 03:24:00,2015-03-10 03:24:00
4728,DC-ORD-10239,4030,2015-05-30,CLOSED,334.37,2015-05-31,2015-06-01,High,2015-05-30 10:49:00,2015-05-30 10:49:00
4729,DC-ORD-5969,4031,2015-03-29,CLOSED,966.46,2015-03-30,2015-03-31,High,2015-03-29 02:51:00,2015-03-29 02:51:00
4730,DC-ORD-4268,4032,2015-03-04,CLOSED,810.89,2015-03-05,2015-03-06,High,2015-03-04 06:55:00,2015-03-04 06:55:00
4731,DC-ORD-5394,4033,2015-03-20,CLOSED,811.95,2015-03-21,2015-03-22,High,2015-03-20 17:24:00,2015-03-20 17:24:00
4732,DC-ORD-3187,4034,2015-02-16,CLOSED,1098.9,2015-02-17,2015-02-18,High,2015-02-16 12:11:00,2015-02-16 12:11:00
4733,DC-ORD-61340,4035,2017-06-14,CLOSED,774.96,2017-06-15,2017-06-16,High,2017-06-14 09:47:00,2017-06-14 09:47:00
4734,DC-ORD-5573,3265,2015-03-23,CLOSED,293.98,2015-03-24,2015-03-25,High,2015-03-23 08:07:00,2015-03-23 08:07:00
4735,DC-ORD-7229,4036,2015-04-16,CLOSED,733.96,2015-04-17,2015-04-18,High,2015-04-16 12:17:00,2015-04-16 12:17:00
4736,DC-ORD-58130,290,2017-04-28,CLOSED,734.93,2017-04-29,2017-04-30,High,2017-04-28 13:10:00,2017-04-28 13:10:00
4737,DC-ORD-384,806,2015-01-06,CLOSED,969.5,2015-01-07,2015-01-08,High,2015-01-06 14:10:00,2015-01-06 14:10:00
4738,DC-ORD-60520,4037,2017-06-02,CLOSED,752.84,2017-06-03,2017-06-04,High,2017-06-02 10:30:00,2017-06-02 10:30:00
4739,DC-ORD-60446,4038,2017-06-01,CLOSED,992.96,2017-06-02,2017-06-03,High,2017-06-01 08:34:00,2017-06-01 08:34:00
4740,DC-ORD-8112,1455,2015-04-29,CLOSED,636.72,2015-04-30,2015-05-01,High,2015-04-29 09:38:00,2015-04-29 09:38:00
4741,DC-ORD-9467,3195,2015-05-19,CLOSED,644.14,2015-05-20,2015-05-21,High,2015-05-19 04:21:00,2015-05-19 04:21:00
4742,DC-ORD-6807,1460,2015-04-10,CLOSED,750.98,2015-04-11,2015-04-12,High,2015-04-10 08:26:00,2015-04-10 08:26:00
4743,DC-ORD-6077,784,2015-03-30,CLOSED,992.9,2015-03-31,2015-04-01,High,2015-03-30 16:41:00,2015-03-30 16:41:00
4744,DC-ORD-55601,4039,2017-03-22,CLOSED,239.98,2017-03-23,2017-03-24,High,2017-03-22 15:09:00,2017-03-22 15:09:00
4745,DC-ORD-59961,4040,2017-05-25,CLOSED,1105.71,2017-05-26,2017-05-27,High,2017-05-25 06:39:00,2017-05-25 06:39:00
4746,DC-ORD-61024,4041,2017-06-09,CLOSED,810.03,2017-06-10,2017-06-11,High,2017-06-09 19:04:00,2017-06-09 19:04:00
4747,DC-ORD-7049,4042,2015-04-13,CLOSED,634.88,2015-04-14,2015-04-15,High,2015-04-13 21:13:00,2015-04-13 21:13:00
4748,DC-ORD-57291,4043,2017-04-16,CLOSED,874.24,2017-04-17,2017-04-18,High,2017-04-16 07:14:00,2017-04-16 07:14:00
4749,DC-ORD-74614,4044,2017-12-25,CLOSED,238.97,2017-12-26,2017-12-27,High,2017-12-25 04:15:00,2017-12-25 04:15:00
4750,DC-ORD-74336,4045,2017-12-21,CLOSED,406.84,2017-12-22,2017-12-23,High,2017-12-21 02:51:00,2017-12-21 02:51:00
4751,DC-ORD-73072,4046,2017-12-02,CLOSED,81.02,2017-12-03,2017-12-04,High,2017-12-02 16:01:00,2017-12-02 16:01:00
4752,DC-ORD-75531,4047,2018-01-07,CLOSED,80.18,2018-01-08,2018-01-09,High,2018-01-07 13:31:00,2018-01-07 13:31:00
4753,DC-ORD-75612,4048,2018-01-08,CLOSED,70.05,2018-01-09,2018-01-10,High,2018-01-08 17:54:00,2018-01-08 17:54:00
4754,DC-ORD-72987,4049,2017-12-01,CLOSED,63.3,2017-12-02,2017-12-03,High,2017-12-01 10:14:00,2017-12-01 10:14:00
4755,DC-ORD-72274,4050,2017-11-21,CLOSED,293.04,2017-11-22,2017-11-23,High,2017-11-21 00:27:00,2017-11-21 00:27:00
4756,DC-ORD-25591,4051,2016-01-09,CLOSED,99.99,2016-01-10,2016-01-11,High,2016-01-09 13:19:00,2016-01-09 13:19:00
4757,DC-ORD-22394,3480,2015-11-23,CLOSED,256.64,2015-11-24,2015-11-25,High,2015-11-23 21:15:00,2015-11-23 21:15:00
4758,DC-ORD-23489,4052,2015-12-09,CLOSED,428.42,2015-12-10,2015-12-11,High,2015-12-09 20:53:00,2015-12-09 20:53:00
4759,DC-ORD-28712,4053,2016-02-24,CLOSED,760.06,2016-02-25,2016-02-26,High,2016-02-24 02:44:00,2016-02-24 02:44:00
4760,DC-ORD-24320,4054,2015-12-22,CLOSED,755.75,2015-12-23,2015-12-24,High,2015-12-22 00:01:00,2015-12-22 00:01:00
4761,DC-ORD-22778,4055,2015-11-29,CLOSED,856.61,2015-11-30,2015-12-01,High,2015-11-29 11:47:00,2015-11-29 11:47:00
4762,DC-ORD-21647,4056,2015-11-12,CLOSED,387.23,2015-11-13,2015-11-14,High,2015-11-12 23:33:00,2015-11-12 23:33:00
4763,DC-ORD-74164,4057,2017-12-18,CLOSED,56.13,2017-12-19,2017-12-20,High,2017-12-18 14:36:00,2017-12-18 14:36:00
4764,DC-ORD-76942,4058,2018-01-28,CLOSED,205.03,2018-01-29,2018-01-30,High,2018-01-28 03:51:00,2018-01-28 03:51:00
4765,DC-ORD-74959,4059,2017-12-30,CLOSED,438.41,2017-12-31,2018-01-01,High,2017-12-30 05:07:00,2017-12-30 05:07:00
4766,DC-ORD-22061,297,2015-11-19,CLOSED,978.36,2015-11-20,2015-11-21,High,2015-11-19 00:36:00,2015-11-19 00:36:00
4767,DC-ORD-28933,662,2016-02-27,CLOSED,122.84,2016-02-28,2016-02-29,High,2016-02-27 08:10:00,2016-02-27 08:10:00
4768,DC-ORD-27329,2174,2016-02-03,CLOSED,159.78,2016-02-04,2016-02-05,High,2016-02-03 22:12:00,2016-02-03 22:12:00
4769,DC-ORD-44631,4060,2016-10-13,CLOSED,845.14,2016-10-14,2016-10-15,High,2016-10-13 11:52:00,2016-10-13 11:52:00
4770,DC-ORD-24361,4061,2015-12-22,CLOSED,603.02,2015-12-23,2015-12-24,High,2015-12-22 14:23:00,2015-12-22 14:23:00
4771,DC-ORD-25309,4062,2016-01-05,CLOSED,114.39,2016-01-06,2016-01-07,High,2016-01-05 10:31:00,2016-01-05 10:31:00
4772,DC-ORD-28320,4063,2016-02-18,CLOSED,619.56,2016-02-19,2016-02-20,High,2016-02-18 09:24:00,2016-02-18 09:24:00
4773,DC-ORD-25558,1370,2016-01-09,CLOSED,142.19,2016-01-10,2016-01-11,High,2016-01-09 01:45:00,2016-01-09 01:45:00
4774,DC-ORD-73763,4064,2017-12-12,CLOSED,187.76,2017-12-13,2017-12-14,High,2017-12-12 18:06:00,2017-12-12 18:06:00
4775,DC-ORD-23419,4065,2015-12-08,CLOSED,550.53,2015-12-09,2015-12-10,High,2015-12-08 20:22:00,2015-12-08 20:22:00
4776,DC-ORD-73886,4066,2017-12-14,CLOSED,179.13,2017-12-15,2017-12-16,High,2017-12-14 13:12:00,2017-12-14 13:12:00
4777,DC-ORD-27255,4067,2016-02-02,CLOSED,49.19,2016-02-03,2016-02-04,High,2016-02-02 20:17:00,2016-02-02 20:17:00
4778,DC-ORD-72364,4068,2017-11-22,CLOSED,172.9,2017-11-23,2017-11-24,High,2017-11-22 07:58:00,2017-11-22 07:58:00
4779,DC-ORD-50728,4069,2017-01-10,CLOSED,494.57,2017-01-11,2017-01-12,High,2017-01-10 11:55:00,2017-01-10 11:55:00
4780,DC-ORD-74858,4070,2017-12-28,CLOSED,369.18,2017-12-29,2017-12-30,High,2017-12-28 17:44:00,2017-12-28 17:44:00
4781,DC-ORD-24214,4071,2015-12-20,CLOSED,889.44,2015-12-21,2015-12-22,High,2015-12-20 10:53:00,2015-12-20 10:53:00
4782,DC-ORD-21494,4072,2015-11-10,CLOSED,562.88,2015-11-11,2015-11-12,High,2015-11-10 17:57:00,2015-11-10 17:57:00
4783,DC-ORD-28076,4073,2016-02-14,CLOSED,565.31,2016-02-15,2016-02-16,High,2016-02-14 19:55:00,2016-02-14 19:55:00
4784,DC-ORD-25863,4074,2016-01-13,CLOSED,378.48,2016-01-14,2016-01-15,High,2016-01-13 12:36:00,2016-01-13 12:36:00
4785,DC-ORD-71800,4075,2017-11-14,CLOSED,503.29,2017-11-15,2017-11-16,High,2017-11-14 02:23:00,2017-11-14 02:23:00
4786,DC-ORD-72029,4076,2017-11-17,CLOSED,463.34,2017-11-18,2017-11-19,High,2017-11-17 10:37:00,2017-11-17 10:37:00
4787,DC-ORD-47051,4077,2016-11-17,CLOSED,941.19,2016-11-18,2016-11-19,High,2016-11-17 19:42:00,2016-11-17 19:42:00
4788,DC-ORD-25115,4078,2016-01-02,CLOSED,545.7,2016-01-03,2016-01-04,High,2016-01-02 14:33:00,2016-01-02 14:33:00
4789,DC-ORD-22515,3425,2015-11-25,CLOSED,1247.5,2015-11-26,2015-11-27,High,2015-11-25 15:39:00,2015-11-25 15:39:00
4790,DC-ORD-28692,4079,2016-02-23,CLOSED,896.38,2016-02-24,2016-02-25,High,2016-02-23 19:44:00,2016-02-23 19:44:00
4791,DC-ORD-22171,4080,2015-11-20,CLOSED,563.94,2015-11-21,2015-11-22,High,2015-11-20 15:08:00,2015-11-20 15:08:00
4792,DC-ORD-27027,4081,2016-01-30,CLOSED,832.95,2016-01-31,2016-02-01,High,2016-01-30 12:24:00,2016-01-30 12:24:00
4793,DC-ORD-25900,3458,2016-01-14,CLOSED,685.54,2016-01-15,2016-01-16,High,2016-01-14 01:34:00,2016-01-14 01:34:00
4794,DC-ORD-27311,4082,2016-02-03,CLOSED,287.98,2016-02-04,2016-02-05,High,2016-02-03 15:54:00,2016-02-03 15:54:00
4795,DC-ORD-24170,4083,2015-12-19,CLOSED,845.03,2015-12-20,2015-12-21,High,2015-12-19 19:28:00,2015-12-19 19:28:00
4796,DC-ORD-22211,4084,2015-11-21,CLOSED,1005.45,2015-11-22,2015-11-23,High,2015-11-21 05:09:00,2015-11-21 05:09:00
4797,DC-ORD-27013,4085,2016-01-30,CLOSED,861.43,2016-01-31,2016-02-01,High,2016-01-30 07:30:00,2016-01-30 07:30:00
4798,DC-ORD-22423,4086,2015-11-24,CLOSED,410.96,2015-11-25,2015-11-26,High,2015-11-24 07:25:00,2015-11-24 07:25:00
4799,DC-ORD-21980,4035,2015-11-17,CLOSED,731.77,2015-11-18,2015-11-19,High,2015-11-17 20:13:00,2015-11-17 20:13:00
4800,DC-ORD-22642,4087,2015-11-27,CLOSED,1101.61,2015-11-28,2015-11-29,High,2015-11-27 12:09:00,2015-11-27 12:09:00
4801,DC-ORD-74019,4088,2017-12-16,CLOSED,29.53,2017-12-17,2017-12-18,High,2017-12-16 11:48:00,2017-12-16 11:48:00
4802,DC-ORD-76402,4089,2018-01-20,CLOSED,39.75,2018-01-21,2018-01-22,High,2018-01-20 06:40:00,2018-01-20 06:40:00
4803,DC-ORD-73602,4090,2017-12-10,CLOSED,39.75,2017-12-11,2017-12-12,High,2017-12-10 09:42:00,2017-12-10 09:42:00
4804,DC-ORD-75429,4091,2018-01-06,CLOSED,255.44,2018-01-07,2018-01-08,High,2018-01-06 01:47:00,2018-01-06 01:47:00
4805,DC-ORD-73524,4092,2017-12-09,CLOSED,37.56,2017-12-10,2017-12-11,High,2017-12-09 06:22:00,2017-12-09 06:22:00
4806,DC-ORD-75477,4093,2018-01-06,CLOSED,237.19,2018-01-07,2018-01-08,High,2018-01-06 18:36:00,2018-01-06 18:36:00
4807,DC-ORD-76807,4094,2018-01-26,CLOSED,35.78,2018-01-27,2018-01-28,High,2018-01-26 04:33:00,2018-01-26 04:33:00
4808,DC-ORD-73628,4095,2017-12-10,CLOSED,34.98,2017-12-11,2017-12-12,High,2017-12-10 18:49:00,2017-12-10 18:49:00
4809,DC-ORD-31975,4096,2016-04-11,CLOSED,417.46,2016-04-12,2016-04-13,High,2016-04-11 17:54:00,2016-04-11 17:54:00
4810,DC-ORD-32978,4097,2016-04-26,CLOSED,356.36,2016-04-27,2016-04-28,High,2016-04-26 09:18:00,2016-04-26 09:18:00
4811,DC-ORD-37171,4098,2016-06-26,CLOSED,449.97,2016-06-27,2016-06-28,High,2016-06-26 14:18:00,2016-06-26 14:18:00
4812,DC-ORD-32790,4099,2016-04-23,CLOSED,781.17,2016-04-24,2016-04-25,High,2016-04-23 15:26:00,2016-04-23 15:26:00
4813,DC-ORD-36517,4100,2016-06-17,CLOSED,764.23,2016-06-18,2016-06-19,High,2016-06-17 01:10:00,2016-06-17 01:10:00
4814,DC-ORD-32051,3385,2016-04-12,CLOSED,292.22,2016-04-13,2016-04-14,High,2016-04-12 20:32:00,2016-04-12 20:32:00
4815,DC-ORD-39664,4101,2016-08-01,CLOSED,618.78,2016-08-02,2016-08-03,High,2016-08-01 23:42:00,2016-08-01 23:42:00
4816,DC-ORD-39737,4102,2016-08-03,CLOSED,919.56,2016-08-04,2016-08-05,High,2016-08-03 01:17:00,2016-08-03 01:17:00
4817,DC-ORD-33097,4103,2016-04-28,CLOSED,582.09,2016-04-29,2016-04-30,High,2016-04-28 03:00:00,2016-04-28 03:00:00
4818,DC-ORD-40242,4104,2016-08-10,CLOSED,511.0,2016-08-11,2016-08-12,High,2016-08-10 10:12:00,2016-08-10 10:12:00
4819,DC-ORD-35455,4105,2016-06-01,CLOSED,146.27,2016-06-02,2016-06-03,High,2016-06-01 13:06:00,2016-06-01 13:06:00
4820,DC-ORD-34678,3366,2016-05-21,CLOSED,678.22,2016-05-22,2016-05-23,High,2016-05-21 04:53:00,2016-05-21 04:53:00
4821,DC-ORD-43099,4106,2016-09-21,CLOSED,273.67,2016-09-22,2016-09-23,High,2016-09-21 03:08:00,2016-09-21 03:08:00
4822,DC-ORD-31490,841,2016-04-04,CLOSED,441.97,2016-04-05,2016-04-06,High,2016-04-04 15:59:00,2016-04-04 15:59:00
4823,DC-ORD-37390,4107,2016-06-29,CLOSED,561.98,2016-06-30,2016-07-01,High,2016-06-29 19:01:00,2016-06-29 19:01:00
4824,DC-ORD-39483,4108,2016-07-30,CLOSED,700.11,2016-07-31,2016-08-01,High,2016-07-30 08:18:00,2016-07-30 08:18:00
4825,DC-ORD-32126,2227,2016-04-13,CLOSED,333.3,2016-04-14,2016-04-15,High,2016-04-13 22:49:00,2016-04-13 22:49:00
4826,DC-ORD-35637,4109,2016-06-04,CLOSED,719.75,2016-06-05,2016-06-06,High,2016-06-04 04:52:00,2016-06-04 04:52:00
4827,DC-ORD-35021,4110,2016-05-26,CLOSED,910.18,2016-05-27,2016-05-28,High,2016-05-26 05:03:00,2016-05-26 05:03:00
4828,DC-ORD-39804,4111,2016-08-04,CLOSED,107.89,2016-08-05,2016-08-06,High,2016-08-04 00:45:00,2016-08-04 00:45:00
4829,DC-ORD-37313,4112,2016-06-28,CLOSED,407.87,2016-06-29,2016-06-30,High,2016-06-28 16:03:00,2016-06-28 16:03:00
4830,DC-ORD-31458,4113,2016-04-04,CLOSED,749.81,2016-04-05,2016-04-06,High,2016-04-04 04:47:00,2016-04-04 04:47:00
4831,DC-ORD-31574,3296,2016-04-05,CLOSED,552.98,2016-04-06,2016-04-07,High,2016-04-05 21:25:00,2016-04-05 21:25:00
4832,DC-ORD-34687,4114,2016-05-21,CLOSED,702.4,2016-05-22,2016-05-23,High,2016-05-21 08:03:00,2016-05-21 08:03:00
4833,DC-ORD-34014,4115,2016-05-11,CLOSED,721.62,2016-05-12,2016-05-13,High,2016-05-11 12:16:00,2016-05-11 12:16:00
4834,DC-ORD-34368,4116,2016-05-16,CLOSED,658.93,2016-05-17,2016-05-18,High,2016-05-16 16:17:00,2016-05-16 16:17:00
4835,DC-ORD-32213,3945,2016-04-15,CLOSED,697.89,2016-04-16,2016-04-17,High,2016-04-15 05:17:00,2016-04-15 05:17:00
4836,DC-ORD-32625,1339,2016-04-21,CLOSED,1000.87,2016-04-22,2016-04-23,High,2016-04-21 05:38:00,2016-04-21 05:38:00
4837,DC-ORD-34048,4117,2016-05-12,CLOSED,388.98,2016-05-13,2016-05-14,High,2016-05-12 00:10:00,2016-05-12 00:10:00
4838,DC-ORD-41702,3420,2016-08-31,CLOSED,714.0,2016-09-01,2016-09-02,High,2016-08-31 17:43:00,2016-08-31 17:43:00
4839,DC-ORD-48169,4118,2016-12-04,CLOSED,56.3,2016-12-05,2016-12-06,High,2016-12-04 03:23:00,2016-12-04 03:23:00
4840,DC-ORD-45464,1663,2016-10-25,CLOSED,981.68,2016-10-26,2016-10-27,High,2016-10-25 15:42:00,2016-10-25 15:42:00
4841,DC-ORD-44203,1686,2016-10-07,CLOSED,643.53,2016-10-08,2016-10-09,High,2016-10-07 05:55:00,2016-10-07 05:55:00
4842,DC-ORD-45351,1369,2016-10-24,CLOSED,741.45,2016-10-25,2016-10-26,High,2016-10-24 00:07:00,2016-10-24 00:07:00
4843,DC-ORD-63311,3164,2017-07-13,CLOSED,413.56,2017-07-14,2017-07-15,High,2017-07-13 04:18:00,2017-07-13 04:18:00
4844,DC-ORD-59373,2174,2017-05-16,CLOSED,779.93,2017-05-17,2017-05-18,High,2017-05-16 16:39:00,2017-05-16 16:39:00
4845,DC-ORD-5122,4119,2015-03-16,CLOSED,344.93,2015-03-17,2015-03-18,High,2015-03-16 18:06:00,2015-03-16 18:06:00
4846,DC-ORD-54589,4120,2017-03-07,CLOSED,990.26,2017-03-08,2017-03-09,High,2017-03-07 20:36:00,2017-03-07 20:36:00
4847,DC-ORD-52672,4121,2017-02-07,CLOSED,483.53,2017-02-08,2017-02-09,High,2017-02-07 20:59:00,2017-02-07 20:59:00
4848,DC-ORD-3113,4122,2015-02-15,CLOSED,314.54,2015-02-16,2015-02-17,High,2015-02-15 10:16:00,2015-02-15 10:16:00
4849,DC-ORD-30637,3535,2016-03-23,CLOSED,422.27,2016-03-24,2016-03-25,High,2016-03-23 05:09:00,2016-03-23 05:09:00
4850,DC-ORD-30938,4123,2016-03-27,CLOSED,764.71,2016-03-28,2016-03-29,High,2016-03-27 14:36:00,2016-03-27 14:36:00
4851,DC-ORD-28760,3272,2016-02-24,CLOSED,370.97,2016-02-25,2016-02-26,High,2016-02-24 19:33:00,2016-02-24 19:33:00
4852,DC-ORD-45721,1693,2016-10-29,CLOSED,80.0,2016-10-30,2016-10-31,High,2016-10-29 09:45:00,2016-10-29 09:45:00
4853,DC-ORD-39105,4124,2016-07-24,CLOSED,107.98,2016-07-25,2016-07-26,High,2016-07-24 19:52:00,2016-07-24 19:52:00
4854,DC-ORD-31927,4125,2016-04-11,CLOSED,797.37,2016-04-12,2016-04-13,High,2016-04-11 01:05:00,2016-04-11 01:05:00
4855,DC-ORD-35262,4126,2016-05-29,CLOSED,1329.91,2016-05-30,2016-05-31,High,2016-05-29 17:29:00,2016-05-29 17:29:00
4856,DC-ORD-36933,4127,2016-06-23,CLOSED,393.69,2016-06-24,2016-06-25,High,2016-06-23 02:55:00,2016-06-23 02:55:00
4857,DC-ORD-31743,4128,2016-04-08,CLOSED,67.18,2016-04-09,2016-04-10,High,2016-04-08 08:38:00,2016-04-08 08:38:00
4858,DC-ORD-49736,2176,2016-12-27,CLOSED,847.88,2016-12-28,2016-12-29,High,2016-12-27 00:23:00,2016-12-27 00:23:00
4859,DC-ORD-67407,3460,2017-09-10,CLOSED,326.56,2017-09-11,2017-09-12,High,2017-09-10 23:19:00,2017-09-10 23:19:00
4860,DC-ORD-17043,199,2015-09-06,CLOSED,748.31,2015-09-07,2015-09-08,High,2015-09-06 18:34:00,2015-09-06 18:34:00
4861,DC-ORD-62951,4129,2017-07-07,CLOSED,277.97,2017-07-08,2017-07-09,High,2017-07-07 22:11:00,2017-07-07 22:11:00
4862,DC-ORD-13468,4130,2015-07-16,CLOSED,126.0,2015-07-17,2015-07-18,High,2015-07-16 14:05:00,2015-07-16 14:05:00
4863,DC-ORD-55101,2077,2017-03-15,CLOSED,130.29,2017-03-16,2017-03-17,High,2017-03-15 07:59:00,2017-03-15 07:59:00
4864,DC-ORD-57749,4131,2017-04-22,CLOSED,251.97,2017-04-23,2017-04-24,High,2017-04-22 23:41:00,2017-04-22 23:41:00
4865,DC-ORD-57686,4132,2017-04-22,CLOSED,163.77,2017-04-23,2017-04-24,High,2017-04-22 01:37:00,2017-04-22 01:37:00
4866,DC-ORD-59374,3295,2017-05-16,CLOSED,1167.75,2017-05-17,2017-05-18,High,2017-05-16 17:00:00,2017-05-16 17:00:00
4867,DC-ORD-48453,56,2016-12-08,PENDING_PAYMENT,526.84,2016-12-12,2016-12-12,Normal,2016-12-08 06:53:00,2016-12-08 06:53:00
4868,DC-ORD-74840,4133,2017-12-28,PENDING_PAYMENT,369.18,2018-01-01,2018-01-03,High,2017-12-28 11:26:00,2017-12-28 11:26:00
4869,DC-ORD-30866,2390,2016-03-26,PENDING_PAYMENT,725.93,2016-03-30,2016-03-28,Normal,2016-03-26 13:23:00,2016-03-26 13:23:00
4870,DC-ORD-22078,4134,2015-11-19,PENDING_PAYMENT,1136.79,2015-11-23,2015-11-23,Normal,2015-11-19 06:33:00,2015-11-19 06:33:00
