id,po_number,vendor_id,amount,status,order_date,expected_delivery,actual_delivery,pr_id,pr_number,created_at,approved_at,received_at,category,department,created_by
19877,DC-PO-20735,VND0000001,148.75,Received,2015-10-30,2015-11-03,2015-11-05,,,2015-10-30 16:02:00,2015-10-30 16:02:00,2015-11-05,Electronics,Footwear,
19878,DC-PO-26494,VND0000002,482.94,Received,2016-01-22,2016-01-26,2016-01-27,,,2016-01-22 17:40:00,2016-01-22 17:40:00,2016-01-27,Cleats,Apparel,
19879,DC-PO-27324,VND0000002,464.46,Received,2016-02-03,2016-02-07,2016-02-08,,,2016-02-03 20:27:00,2016-02-03 20:27:00,2016-02-08,Cleats,Apparel,
19880,DC-PO-30912,VND0000005,772.85,Received,2016-03-27,2016-03-31,2016-03-30,,,2016-03-27 05:30:00,2016-03-27 05:30:00,2016-03-30,Shop By Sport,Golf,
19881,DC-PO-28358,VND0000003,437.41,Received,2016-02-18,2016-02-22,2016-02-22,,,2016-02-18 22:43:00,2016-02-18 22:43:00,2016-02-22,Women's Apparel,Golf,
19882,DC-PO-42752,VND0000002,175.96,Received,2016-09-16,2016-09-20,2016-09-19,,,2016-09-16 01:34:00,2016-09-16 01:34:00,2016-09-19,Shop By Sport,Golf,
19883,DC-PO-48753,VND0000002,163.96,Received,2016-12-12,2016-12-16,2016-12-16,,,2016-12-12 15:59:00,2016-12-12 15:59:00,2016-12-16,Shop By Sport,Golf,
19884,DC-PO-45521,VND0000005,268.45,Received,2016-10-26,2016-10-30,2016-10-28,,,2016-10-26 11:41:00,2016-10-26 11:41:00,2016-10-28,Accessories,Outdoors,
19885,DC-PO-32034,VND0000005,587.38,Received,2016-04-12,2016-04-16,2016-04-17,,,2016-04-12 14:35:00,2016-04-12 14:35:00,2016-04-17,Lacrosse,Fitness,
19886,DC-PO-35743,VND0000002,508.35,Received,2016-06-05,2016-06-09,2016-06-09,,,2016-06-05 18:00:00,2016-06-05 18:00:00,2016-06-09,Cleats,Apparel,
19887,DC-PO-31326,VND0000002,438.91,Received,2016-04-02,2016-04-06,2016-04-04,,,2016-04-02 06:32:00,2016-04-02 06:32:00,2016-04-04,Cleats,Apparel,
19888,DC-PO-41100,VND0000003,711.21,Received,2016-08-22,2016-08-26,2016-08-28,,,2016-08-22 22:48:00,2016-08-22 22:48:00,2016-08-28,Cleats,Apparel,
19889,DC-PO-31628,VND0000003,242.5,Received,2016-04-06,2016-04-10,2016-04-10,,,2016-04-06 16:20:00,2016-04-06 16:20:00,2016-04-10,Women's Apparel,Golf,
19890,DC-PO-39514,VND0000003,433.47,Received,2016-07-30,2016-08-03,2016-08-04,,,2016-07-30 19:09:00,2016-07-30 19:09:00,2016-08-04,Women's Apparel,Golf,
19891,DC-PO-38253,VND0000005,563.48,Received,2016-07-12,2016-07-16,2016-07-16,,,2016-07-12 09:22:00,2016-07-12 09:22:00,2016-07-16,Women's Apparel,Golf,
19892,DC-PO-39099,VND0000003,200.0,Received,2016-07-24,2016-07-28,2016-07-29,,,2016-07-24 17:46:00,2016-07-24 17:46:00,2016-07-29,Women's Apparel,Golf,
19893,DC-PO-45350,VND0000002,657.48,Received,2016-10-23,2016-10-24,2016-10-25,,,2016-10-23 23:46:00,2016-10-23 23:46:00,2016-10-25,Baseball & Softball,Fitness,
19894,DC-PO-43421,VND0000003,1026.65,Received,2016-09-25,2016-09-26,2016-09-27,,,2016-09-25 19:57:00,2016-09-25 19:57:00,2016-09-27,Baseball & Softball,Fitness,
19895,DC-PO-50798,VND0000005,299.42,Received,2017-01-11,2017-01-12,2017-01-13,,,2017-01-11 12:27:00,2017-01-11 12:27:00,2017-01-13,Cardio Equipment,Footwear,
19896,DC-PO-42384,VND0000005,690.71,Received,2016-09-10,2016-09-11,2016-09-12,,,2016-09-10 16:39:00,2016-09-10 16:39:00,2016-09-12,Cardio Equipment,Footwear,
19897,DC-PO-42355,VND0000002,436.35,Received,2016-09-10,2016-09-11,2016-09-12,,,2016-09-10 06:29:00,2016-09-10 06:29:00,2016-09-12,Cardio Equipment,Footwear,
19898,DC-PO-47243,VND0000005,959.29,Received,2016-11-20,2016-11-21,2016-11-22,,,2016-11-20 14:58:00,2016-11-20 14:58:00,2016-11-22,Cleats,Apparel,
19899,DC-PO-48309,VND0000003,246.36,Received,2016-12-06,2016-12-07,2016-12-08,,,2016-12-06 04:26:00,2016-12-06 04:26:00,2016-12-08,Men's Footwear,Apparel,
19900,DC-PO-47923,VND0000005,796.49,Received,2016-11-30,2016-12-01,2016-12-02,,,2016-11-30 13:12:00,2016-11-30 13:12:00,2016-12-02,Men's Footwear,Apparel,
19901,DC-PO-50146,VND0000005,998.63,Received,2017-01-02,2017-01-03,2017-01-04,,,2017-01-02 00:01:00,2017-01-02 00:01:00,2017-01-04,Men's Footwear,Apparel,
19902,DC-PO-47240,VND0000003,128.69,Received,2016-11-20,2016-11-21,2016-11-22,,,2016-11-20 13:55:00,2016-11-20 13:55:00,2016-11-22,Men's Footwear,Apparel,
19903,DC-PO-45681,VND0000003,548.96,Received,2016-10-28,2016-10-29,2016-10-30,,,2016-10-28 19:44:00,2016-10-28 19:44:00,2016-10-30,Men's Footwear,Apparel,
19904,DC-PO-47720,VND0000005,708.63,Received,2016-11-27,2016-11-28,2016-11-29,,,2016-11-27 14:05:00,2016-11-27 14:05:00,2016-11-29,Men's Footwear,Apparel,
19905,DC-PO-43543,VND0000003,184.08,Received,2016-09-27,2016-09-28,2016-09-29,,,2016-09-27 14:42:00,2016-09-27 14:42:00,2016-09-29,Men's Footwear,Apparel,
19906,DC-PO-46619,VND0000005,606.05,Received,2016-11-11,2016-11-12,2016-11-13,,,2016-11-11 12:21:00,2016-11-11 12:21:00,2016-11-13,Men's Footwear,Apparel,
19907,DC-PO-43541,VND0000005,911.32,Received,2016-09-27,2016-09-28,2016-09-29,,,2016-09-27 14:00:00,2016-09-27 14:00:00,2016-09-29,Men's Footwear,Apparel,
19908,DC-PO-48673,VND0000005,908.81,Received,2016-12-11,2016-12-12,2016-12-13,,,2016-12-11 11:58:00,2016-12-11 11:58:00,2016-12-13,Men's Footwear,Apparel,
19909,DC-PO-49117,VND0000005,713.44,Received,2016-12-17,2016-12-18,2016-12-19,,,2016-12-17 23:31:00,2016-12-17 23:31:00,2016-12-19,Men's Footwear,Apparel,
19910,DC-PO-49922,VND0000002,449.23,Received,2016-12-29,2016-12-30,2016-12-31,,,2016-12-29 17:33:00,2016-12-29 17:33:00,2016-12-31,Cleats,Apparel,
19911,DC-PO-47567,VND0000005,1262.63,Received,2016-11-25,2016-11-26,2016-11-27,,,2016-11-25 08:29:00,2016-11-25 08:29:00,2016-11-27,Men's Footwear,Apparel,
19912,DC-PO-49773,VND0000005,1234.78,Received,2016-12-27,2016-12-28,2016-12-29,,,2016-12-27 13:20:00,2016-12-27 13:20:00,2016-12-29,Men's Footwear,Apparel,
19913,DC-PO-50235,VND0000005,472.87,Received,2017-01-03,2017-01-04,2017-01-05,,,2017-01-03 07:12:00,2017-01-03 07:12:00,2017-01-05,Men's Footwear,Apparel,
19914,DC-PO-48414,VND0000002,418.44,Received,2016-12-07,2016-12-08,2016-12-09,,,2016-12-07 17:13:00,2016-12-07 17:13:00,2016-12-09,Men's Footwear,Apparel,
19915,DC-PO-43407,VND0000005,645.43,Received,2016-09-25,2016-09-26,2016-09-27,,,2016-09-25 15:03:00,2016-09-25 15:03:00,2016-09-27,Men's Footwear,Apparel,
19916,DC-PO-49250,VND0000002,414.34,Received,2016-12-19,2016-12-20,2016-12-21,,,2016-12-19 22:07:00,2016-12-19 22:07:00,2016-12-21,Men's Footwear,Apparel,
19917,DC-PO-47693,VND0000005,679.1,Received,2016-11-27,2016-11-28,2016-11-29,,,2016-11-27 04:37:00,2016-11-27 04:37:00,2016-11-29,Men's Footwear,Apparel,
19918,DC-PO-45940,VND0000005,834.1,Received,2016-11-01,2016-11-02,2016-11-03,,,2016-11-01 14:28:00,2016-11-01 14:28:00,2016-11-03,Cleats,Apparel,
19919,DC-PO-43250,VND0000002,341.75,Received,2016-09-23,2016-09-24,2016-09-25,,,2016-09-23 08:03:00,2016-09-23 08:03:00,2016-09-25,Men's Footwear,Apparel,
19920,DC-PO-41910,VND0000003,230.25,Received,2016-09-03,2016-09-04,2016-09-05,,,2016-09-03 18:35:00,2016-09-03 18:35:00,2016-09-05,Men's Footwear,Apparel,
19921,DC-PO-45579,VND0000003,355.96,Received,2016-10-27,2016-10-28,2016-10-29,,,2016-10-27 08:00:00,2016-10-27 08:00:00,2016-10-29,Men's Footwear,Apparel,
19922,DC-PO-48920,VND0000005,706.9,Received,2016-12-15,2016-12-16,2016-12-17,,,2016-12-15 02:30:00,2016-12-15 02:30:00,2016-12-17,Cleats,Apparel,
19923,DC-PO-43150,VND0000005,799.7,Received,2016-09-21,2016-09-22,2016-09-23,,,2016-09-21 21:01:00,2016-09-21 21:01:00,2016-09-23,Cleats,Apparel,
19924,DC-PO-47569,VND0000005,614.71,Received,2016-11-25,2016-11-26,2016-11-27,,,2016-11-25 09:11:00,2016-11-25 09:11:00,2016-11-27,Shop By Sport,Golf,
19925,DC-PO-48545,VND0000005,293.56,Received,2016-12-09,2016-12-10,2016-12-11,,,2016-12-09 15:07:00,2016-12-09 15:07:00,2016-12-11,Shop By Sport,Golf,
19926,DC-PO-49251,VND0000005,338.78,Received,2016-12-19,2016-12-20,2016-12-21,,,2016-12-19 22:28:00,2016-12-19 22:28:00,2016-12-21,Shop By Sport,Golf,
19927,DC-PO-47532,VND0000002,130.97,Received,2016-11-24,2016-11-25,2016-11-26,,,2016-11-24 20:13:00,2016-11-24 20:13:00,2016-11-26,Women's Apparel,Golf,
19928,DC-PO-42818,VND0000005,1242.35,Received,2016-09-17,2016-09-18,2016-09-19,,,2016-09-17 00:42:00,2016-09-17 00:42:00,2016-09-19,Women's Apparel,Golf,
19929,DC-PO-46191,VND0000005,467.44,Received,2016-11-05,2016-11-06,2016-11-07,,,2016-11-05 06:24:00,2016-11-05 06:24:00,2016-11-07,Shop By Sport,Golf,
19930,DC-PO-43342,VND0000005,839.13,Received,2016-09-24,2016-09-25,2016-09-26,,,2016-09-24 16:16:00,2016-09-24 16:16:00,2016-09-26,Camping & Hiking,Fan Shop,
19931,DC-PO-42904,VND0000005,674.97,Received,2016-09-18,2016-09-19,2016-09-20,,,2016-09-18 06:49:00,2016-09-18 06:49:00,2016-09-20,Camping & Hiking,Fan Shop,
19932,DC-PO-47785,VND0000005,720.97,Received,2016-11-28,2016-11-29,2016-11-30,,,2016-11-28 12:51:00,2016-11-28 12:51:00,2016-11-30,Camping & Hiking,Fan Shop,
19933,DC-PO-49125,VND0000005,813.97,Received,2016-12-18,2016-12-19,2016-12-20,,,2016-12-18 02:19:00,2016-12-18 02:19:00,2016-12-20,Camping & Hiking,Fan Shop,
19934,DC-PO-45604,VND0000005,832.52,Received,2016-10-27,2016-10-28,2016-10-29,,,2016-10-27 16:45:00,2016-10-27 16:45:00,2016-10-29,Camping & Hiking,Fan Shop,
19935,DC-PO-47111,VND0000002,336.1,Received,2016-11-18,2016-11-19,2016-11-20,,,2016-11-18 16:43:00,2016-11-18 16:43:00,2016-11-20,Men's Footwear,Apparel,
19936,DC-PO-43181,VND0000005,304.75,Received,2016-09-22,2016-09-23,2016-09-24,,,2016-09-22 07:52:00,2016-09-22 07:52:00,2016-09-24,Cleats,Apparel,
19937,DC-PO-49552,VND0000005,836.94,Received,2016-12-24,2016-12-25,2016-12-26,,,2016-12-24 07:55:00,2016-12-24 07:55:00,2016-12-26,Camping & Hiking,Fan Shop,
19938,DC-PO-69775,VND0000001,447.52,Received,2017-10-15,2017-10-16,2017-10-17,,,2017-10-15 12:56:00,2017-10-15 12:56:00,2017-10-17,Cameras,Technology,
19939,DC-PO-69792,VND0000001,443.0,Received,2017-10-15,2017-10-16,2017-10-17,,,2017-10-15 18:53:00,2017-10-15 18:53:00,2017-10-17,Cameras,Technology,
19940,DC-PO-69809,VND0000001,438.48,Received,2017-10-16,2017-10-17,2017-10-18,,,2017-10-16 00:51:00,2017-10-16 00:51:00,2017-10-18,Cameras,Technology,
19941,DC-PO-70930,VND0000001,245.29,Received,2017-11-01,2017-11-02,2017-11-03,,,2017-11-01 09:35:00,2017-11-01 09:35:00,2017-11-03,Consumer Electronics,Technology,
19942,DC-PO-70718,VND0000001,1440.0,Received,2017-10-29,2017-10-30,2017-10-31,,,2017-10-29 07:18:00,2017-10-29 07:18:00,2017-10-31,Computers,Technology,
19943,DC-PO-70947,VND0000001,242.76,Received,2017-11-01,2017-11-02,2017-11-03,,,2017-11-01 15:32:00,2017-11-01 15:32:00,2017-11-03,Consumer Electronics,Technology,
19944,DC-PO-69429,VND0000001,429.44,Received,2017-10-10,2017-10-11,2017-10-12,,,2017-10-10 11:43:00,2017-10-10 11:43:00,2017-10-12,Cameras,Technology,
19945,DC-PO-70716,VND0000001,1417.5,Received,2017-10-29,2017-10-30,2017-10-31,,,2017-10-29 06:36:00,2017-10-29 06:36:00,2017-10-31,Computers,Technology,
19946,DC-PO-70626,VND0000001,1417.5,Received,2017-10-27,2017-10-28,2017-10-29,,,2017-10-27 23:05:00,2017-10-27 23:05:00,2017-10-29,Computers,Technology,
19947,DC-PO-69624,VND0000001,411.36,Received,2017-10-13,2017-10-14,2017-10-15,,,2017-10-13 08:02:00,2017-10-13 08:02:00,2017-10-15,Cameras,Technology,
19948,DC-PO-70588,VND0000001,1365.0,Received,2017-10-27,2017-10-28,2017-10-29,,,2017-10-27 09:46:00,2017-10-27 09:46:00,2017-10-29,Computers,Technology,
19949,DC-PO-70515,VND0000001,1350.0,Received,2017-10-26,2017-10-27,2017-10-28,,,2017-10-26 08:11:00,2017-10-26 08:11:00,2017-10-28,Computers,Technology,
19950,DC-PO-69766,VND0000001,397.8,Received,2017-10-15,2017-10-16,2017-10-17,,,2017-10-15 09:47:00,2017-10-15 09:47:00,2017-10-17,Cameras,Technology,
19951,DC-PO-70711,VND0000001,1305.0,Received,2017-10-29,2017-10-30,2017-10-31,,,2017-10-29 04:51:00,2017-10-29 04:51:00,2017-10-31,Computers,Technology,
19952,DC-PO-70656,VND0000001,1275.0,Received,2017-10-28,2017-10-29,2017-10-30,,,2017-10-28 09:35:00,2017-10-28 09:35:00,2017-10-30,Computers,Technology,
19953,DC-PO-69979,VND0000001,379.71,Received,2017-10-18,2017-10-19,2017-10-20,,,2017-10-18 12:24:00,2017-10-18 12:24:00,2017-10-20,Cameras,Technology,
19954,DC-PO-69816,VND0000001,375.19,Received,2017-10-16,2017-10-17,2017-10-18,,,2017-10-16 03:18:00,2017-10-16 03:18:00,2017-10-18,Cameras,Technology,
19955,DC-PO-69582,VND0000001,375.19,Received,2017-10-12,2017-10-13,2017-10-14,,,2017-10-12 17:19:00,2017-10-12 17:19:00,2017-10-14,Cameras,Technology,
19956,DC-PO-69761,VND0000001,370.67,Received,2017-10-15,2017-10-16,2017-10-17,,,2017-10-15 08:02:00,2017-10-15 08:02:00,2017-10-17,Cameras,Technology,
19957,DC-PO-69958,VND0000001,361.63,Received,2017-10-18,2017-10-19,2017-10-20,,,2017-10-18 05:03:00,2017-10-18 05:03:00,2017-10-20,Cameras,Technology,
19958,DC-PO-69544,VND0000001,361.63,Received,2017-10-12,2017-10-13,2017-10-14,,,2017-10-12 04:00:00,2017-10-12 04:00:00,2017-10-14,Cameras,Technology,
19959,DC-PO-69957,VND0000001,339.03,Received,2017-10-18,2017-10-19,2017-10-20,,,2017-10-18 04:42:00,2017-10-18 04:42:00,2017-10-20,Cameras,Technology,
19960,DC-PO-71024,VND0000001,189.66,Received,2017-11-02,2017-11-03,2017-11-04,,,2017-11-02 18:31:00,2017-11-02 18:31:00,2017-11-04,Consumer Electronics,Technology,
19961,DC-PO-70916,VND0000001,189.66,Received,2017-11-01,2017-11-02,2017-11-03,,,2017-11-01 04:40:00,2017-11-01 04:40:00,2017-11-03,Consumer Electronics,Technology,
19962,DC-PO-65019,VND0000003,372.37,Received,2017-08-07,2017-08-08,2017-08-09,,,2017-08-07 02:42:00,2017-08-07 02:42:00,2017-08-09,Soccer,Fitness,
19963,DC-PO-43330,VND0000003,674.39,Received,2016-09-24,2016-09-25,2016-09-26,,,2016-09-24 12:04:00,2016-09-24 12:04:00,2016-09-26,Lacrosse,Fitness,
19964,DC-PO-67077,VND0000002,301.17,Received,2017-09-06,2017-09-07,2017-09-08,,,2017-09-06 03:42:00,2017-09-06 03:42:00,2017-09-08,Baseball & Softball,Fitness,
19965,DC-PO-68043,VND0000002,1156.06,Received,2017-09-20,2017-09-21,2017-09-22,,,2017-09-20 06:08:00,2017-09-20 06:08:00,2017-09-22,Basketball,Fitness,
19966,DC-PO-67483,VND0000002,1086.18,Received,2017-09-12,2017-09-13,2017-09-14,,,2017-09-12 01:57:00,2017-09-12 01:57:00,2017-09-14,Basketball,Fitness,
19967,DC-PO-65989,VND0000002,612.36,Received,2017-08-21,2017-08-22,2017-08-23,,,2017-08-21 06:32:00,2017-08-21 06:32:00,2017-08-23,Lacrosse,Fitness,
19968,DC-PO-66069,VND0000002,108.74,Received,2017-08-22,2017-08-23,2017-08-24,,,2017-08-22 10:33:00,2017-08-22 10:33:00,2017-08-24,Soccer,Fitness,
19969,DC-PO-68263,VND0000005,932.9,Received,2017-09-23,2017-09-24,2017-09-25,,,2017-09-23 11:13:00,2017-09-23 11:13:00,2017-09-25,Basketball,Fitness,
19970,DC-PO-19807,VND0000005,94.99,Received,2015-10-17,2015-10-18,2015-10-19,,,2015-10-17 02:55:00,2015-10-17 02:55:00,2015-10-19,Cardio Equipment,Footwear,
19971,DC-PO-17587,VND0000005,1126.31,Received,2015-09-14,2015-09-15,2015-09-16,,,2015-09-14 17:09:00,2015-09-14 17:09:00,2015-09-16,Cardio Equipment,Footwear,
19972,DC-PO-50664,VND0000003,818.79,Received,2017-01-09,2017-01-10,2017-01-11,,,2017-01-09 13:30:00,2017-01-09 13:30:00,2017-01-11,Electronics,Footwear,
19973,DC-PO-64093,VND0000002,637.42,Received,2017-07-24,2017-07-25,2017-07-26,,,2017-07-24 14:16:00,2017-07-24 14:16:00,2017-07-26,Cardio Equipment,Footwear,
19974,DC-PO-67286,VND0000005,511.76,Received,2017-09-09,2017-09-10,2017-09-11,,,2017-09-09 04:55:00,2017-09-09 04:55:00,2017-09-11,Cardio Equipment,Footwear,
19975,DC-PO-66800,VND0000005,732.9,Received,2017-09-02,2017-09-03,2017-09-04,,,2017-09-02 02:39:00,2017-09-02 02:39:00,2017-09-04,Cardio Equipment,Footwear,
19976,DC-PO-42503,VND0000005,630.13,Received,2016-09-12,2016-09-13,2016-09-14,,,2016-09-12 10:20:00,2016-09-12 10:20:00,2016-09-14,Cardio Equipment,Footwear,
19977,DC-PO-19269,VND0000002,643.09,Received,2015-10-09,2015-10-10,2015-10-11,,,2015-10-09 06:26:00,2015-10-09 06:26:00,2015-10-11,Cardio Equipment,Footwear,
19978,DC-PO-13099,VND0000005,497.45,Received,2015-07-11,2015-07-12,2015-07-13,,,2015-07-11 04:48:00,2015-07-11 04:48:00,2015-07-13,Cardio Equipment,Footwear,
19979,DC-PO-43401,VND0000005,574.95,Received,2016-09-25,2016-09-26,2016-09-27,,,2016-09-25 12:57:00,2016-09-25 12:57:00,2016-09-27,Cardio Equipment,Footwear,
19980,DC-PO-19607,VND0000002,380.91,Received,2015-10-14,2015-10-15,2015-10-16,,,2015-10-14 04:51:00,2015-10-14 04:51:00,2015-10-16,Cardio Equipment,Footwear,
19981,DC-PO-65792,VND0000003,427.34,Received,2017-08-18,2017-08-19,2017-08-20,,,2017-08-18 09:31:00,2017-08-18 09:31:00,2017-08-20,Cardio Equipment,Footwear,
19982,DC-PO-14930,VND0000005,663.84,Received,2015-08-06,2015-08-07,2015-08-08,,,2015-08-06 22:17:00,2015-08-06 22:17:00,2015-08-08,Cardio Equipment,Footwear,
19983,DC-PO-66535,VND0000005,603.95,Received,2017-08-29,2017-08-30,2017-08-31,,,2017-08-29 05:49:00,2017-08-29 05:49:00,2017-08-31,Cardio Equipment,Footwear,
19984,DC-PO-45313,VND0000005,530.31,Received,2016-10-23,2016-10-24,2016-10-25,,,2016-10-23 10:48:00,2016-10-23 10:48:00,2016-10-25,Men's Footwear,Apparel,
19985,DC-PO-42333,VND0000002,585.18,Received,2016-09-09,2016-09-10,2016-09-11,,,2016-09-09 22:47:00,2016-09-09 22:47:00,2016-09-11,Men's Footwear,Apparel,
19986,DC-PO-17129,VND0000003,629.95,Received,2015-09-08,2015-09-09,2015-09-10,,,2015-09-08 00:42:00,2015-09-08 00:42:00,2015-09-10,Men's Footwear,Apparel,
19987,DC-PO-64574,VND0000005,1028.31,Received,2017-07-31,2017-08-01,2017-08-02,,,2017-07-31 14:47:00,2017-07-31 14:47:00,2017-08-02,Cleats,Apparel,
19988,DC-PO-62247,VND0000005,259.98,Received,2017-06-27,2017-06-28,2017-06-29,,,2017-06-27 15:32:00,2017-06-27 15:32:00,2017-06-29,Cleats,Apparel,
19989,DC-PO-13396,VND0000002,167.97,Received,2015-07-15,2015-07-16,2015-07-17,,,2015-07-15 12:51:00,2015-07-15 12:51:00,2015-07-17,Cleats,Apparel,
19990,DC-PO-18766,VND0000003,129.99,Received,2015-10-01,2015-10-02,2015-10-03,,,2015-10-01 22:12:00,2015-10-01 22:12:00,2015-10-03,Men's Footwear,Apparel,
19991,DC-PO-16862,VND0000005,1062.43,Received,2015-09-04,2015-09-05,2015-09-06,,,2015-09-04 03:09:00,2015-09-04 03:09:00,2015-09-06,Men's Footwear,Apparel,
19992,DC-PO-42150,VND0000002,870.0,Received,2016-09-07,2016-09-08,2016-09-09,,,2016-09-07 06:40:00,2016-09-07 06:40:00,2016-09-09,Men's Footwear,Apparel,
19993,DC-PO-11502,VND0000003,256.08,Received,2015-06-17,2015-06-18,2015-06-19,,,2015-06-17 21:18:00,2015-06-17 21:18:00,2015-06-19,Men's Footwear,Apparel,
19994,DC-PO-11227,VND0000003,382.17,Received,2015-06-13,2015-06-14,2015-06-15,,,2015-06-13 20:58:00,2015-06-13 20:58:00,2015-06-15,Men's Footwear,Apparel,
19995,DC-PO-19033,VND0000005,672.64,Received,2015-10-05,2015-10-06,2015-10-07,,,2015-10-05 19:45:00,2015-10-05 19:45:00,2015-10-07,Men's Footwear,Apparel,
19996,DC-PO-12242,VND0000005,695.59,Received,2015-06-28,2015-06-29,2015-06-30,,,2015-06-28 16:34:00,2015-06-28 16:34:00,2015-06-30,Men's Footwear,Apparel,
19997,DC-PO-11671,VND0000003,420.61,Received,2015-06-20,2015-06-21,2015-06-22,,,2015-06-20 08:31:00,2015-06-20 08:31:00,2015-06-22,Men's Footwear,Apparel,
19998,DC-PO-71198,VND0000003,452.25,Received,2017-11-05,2017-11-06,2017-11-07,,,2017-11-05 07:28:00,2017-11-05 07:28:00,2017-11-07,Crafts,Apparel,
19999,DC-PO-67871,VND0000005,723.94,Received,2017-09-17,2017-09-18,2017-09-19,,,2017-09-17 17:53:00,2017-09-17 17:53:00,2017-09-19,Men's Footwear,Apparel,
20000,DC-PO-65956,VND0000005,805.57,Received,2017-08-20,2017-08-21,2017-08-22,,,2017-08-20 18:58:00,2017-08-20 18:58:00,2017-08-22,Men's Footwear,Apparel,
20001,DC-PO-50494,VND0000002,900.79,Received,2017-01-07,2017-01-08,2017-01-09,,,2017-01-07 01:56:00,2017-01-07 01:56:00,2017-01-09,Men's Footwear,Apparel,
20002,DC-PO-19831,VND0000005,1011.22,Received,2015-10-17,2015-10-18,2015-10-19,,,2015-10-17 11:19:00,2015-10-17 11:19:00,2015-10-19,Men's Footwear,Apparel,
20003,DC-PO-63417,VND0000002,58.79,Received,2017-07-14,2017-07-15,2017-07-16,,,2017-07-14 17:26:00,2017-07-14 17:26:00,2017-07-16,Cleats,Apparel,
20004,DC-PO-66989,VND0000005,938.83,Received,2017-09-04,2017-09-05,2017-09-06,,,2017-09-04 20:52:00,2017-09-04 20:52:00,2017-09-06,Men's Footwear,Apparel,
20005,DC-PO-11328,VND0000003,585.41,Received,2015-06-15,2015-06-16,2015-06-17,,,2015-06-15 08:21:00,2015-06-15 08:21:00,2015-06-17,Men's Footwear,Apparel,
20006,DC-PO-68177,VND0000005,1210.82,Received,2017-09-22,2017-09-23,2017-09-24,,,2017-09-22 05:05:00,2017-09-22 05:05:00,2017-09-24,Men's Footwear,Apparel,
20007,DC-PO-12375,VND0000003,374.37,Received,2015-06-30,2015-07-01,2015-07-02,,,2015-06-30 15:09:00,2015-06-30 15:09:00,2015-07-02,Men's Footwear,Apparel,
20008,DC-PO-65095,VND0000005,602.07,Received,2017-08-08,2017-08-09,2017-08-10,,,2017-08-08 05:19:00,2017-08-08 05:19:00,2017-08-10,Men's Footwear,Apparel,
20009,DC-PO-18718,VND0000002,58.19,Received,2015-10-01,2015-10-02,2015-10-03,,,2015-10-01 05:23:00,2015-10-01 05:23:00,2015-10-03,Cleats,Apparel,
20010,DC-PO-19615,VND0000003,126.09,Received,2015-10-14,2015-10-15,2015-10-16,,,2015-10-14 07:39:00,2015-10-14 07:39:00,2015-10-16,Men's Footwear,Apparel,
20011,DC-PO-19985,VND0000005,294.07,Received,2015-10-19,2015-10-20,2015-10-21,,,2015-10-19 17:17:00,2015-10-19 17:17:00,2015-10-21,Men's Footwear,Apparel,
20012,DC-PO-43475,VND0000003,124.79,Received,2016-09-26,2016-09-27,2016-09-28,,,2016-09-26 14:52:00,2016-09-26 14:52:00,2016-09-28,Men's Footwear,Apparel,
20013,DC-PO-65320,VND0000003,728.27,Received,2017-08-11,2017-08-12,2017-08-13,,,2017-08-11 12:09:00,2017-08-11 12:09:00,2017-08-13,Men's Footwear,Apparel,
20014,DC-PO-16440,VND0000003,480.49,Received,2015-08-28,2015-08-29,2015-08-30,,,2015-08-28 23:18:00,2015-08-28 23:18:00,2015-08-30,Men's Footwear,Apparel,
20015,DC-PO-18603,VND0000005,535.44,Received,2015-09-29,2015-09-30,2015-10-01,,,2015-09-29 13:06:00,2015-09-29 13:06:00,2015-10-01,Men's Footwear,Apparel,
20016,DC-PO-13262,VND0000005,895.4,Received,2015-07-13,2015-07-14,2015-07-15,,,2015-07-13 13:55:00,2015-07-13 13:55:00,2015-07-15,Men's Footwear,Apparel,
20017,DC-PO-62105,VND0000003,123.49,Received,2017-06-25,2017-06-26,2017-06-27,,,2017-06-25 13:47:00,2017-06-25 13:47:00,2017-06-27,Men's Footwear,Apparel,
20018,DC-PO-10988,VND0000005,604.11,Received,2015-06-10,2015-06-11,2015-06-12,,,2015-06-10 09:14:00,2015-06-10 09:14:00,2015-06-12,Men's Footwear,Apparel,
20019,DC-PO-15622,VND0000005,593.94,Received,2015-08-17,2015-08-18,2015-08-19,,,2015-08-17 00:43:00,2015-08-17 00:43:00,2015-08-19,Cleats,Apparel,
20020,DC-PO-65593,VND0000005,706.57,Received,2017-08-15,2017-08-16,2017-08-17,,,2017-08-15 11:47:00,2017-08-15 11:47:00,2017-08-17,Men's Footwear,Apparel,
20021,DC-PO-63689,VND0000003,123.49,Received,2017-07-18,2017-07-19,2017-07-20,,,2017-07-18 16:44:00,2017-07-18 16:44:00,2017-07-20,Men's Footwear,Apparel,
20022,DC-PO-63667,VND0000005,512.65,Received,2017-07-18,2017-07-19,2017-07-20,,,2017-07-18 09:02:00,2017-07-18 09:02:00,2017-07-20,Cleats,Apparel,
20023,DC-PO-13281,VND0000005,605.5,Received,2015-07-13,2015-07-14,2015-07-15,,,2015-07-13 20:34:00,2015-07-13 20:34:00,2015-07-15,Cleats,Apparel,
20024,DC-PO-14387,VND0000005,659.17,Received,2015-07-30,2015-07-31,2015-08-01,,,2015-07-30 00:03:00,2015-07-30 00:03:00,2015-08-01,Men's Footwear,Apparel,
