id,invoice_no,vendor_name,product_name,quantity,department,creation_date,expiry_date,total_value,order_status,completed_units,production_status
193,INV4567,"Mueller, Greenholt and Funk",Beta Gizmo Order,7,Cyber Security,06-02-2022,25-03-2026,1550,Accepted by Vendor,37,Delivered
194,INV8761,Stanton LLC,Delta Doohickey Order,40,Cyber Security,13-03-2022,15-01-2023,2600,Accepted by Vendor,94,Delivered
195,INV4567,"Crist, Hammes and Waelchi",Delta Doohickey Order,61,Procurement,15-02-2022,25-05-2025,8500,Accepted by Vendor,32,Delivered
196,INV6789,Waters-Muller,Beta Gizmo Order,72,Software Develpoment,16-03-2022,20-01-2025,2600,Accepted by Vendor,66,Delivered
197,INV0987,"Veum, Pfeffer and Johnston",Alpha Widget Order,37,Software Develpoment,09-03-2022,30-04-2026,3700,Accepted by Vendor,15,Delivered
198,INV0987,Kulas Inc,Delta Doohickey Order,9,HR,11-02-2022,12-05-2022,3100,Accepted by Vendor,16,Delivered
199,INV6543,Langosh-Batz,Epsilon Whatchamacallit Order,5,Finance,27-03-2022,30-12-2026,8100,Accepted by Vendor,66,Delivered
200,INV8761,"Kulas, Brekke and Jakubowski",Beta Gizmo Order,89,Software Develpoment,10-02-2022,25-05-2024,7800,Accepted by Vendor,61,Delivered
201,INV8765,"Witting, Halvorson and Upton",Gamma Thingamajig Order,88,Management,01-01-2022,10-11-2023,9200,Accepted by Vendor,78,Delivered
202,INV2109,Lehner-Dach,Epsilon Whatchamacallit Order,39,Management,08-01-2022,30-12-2025,7200,Accepted by Vendor,75,Delivered
203,INV4321,Jast-Ernser,Delta Doohickey Order,26,Cyber Security,10-02-2022,15-03-2022,3700,Accepted by Vendor,11,Delivered
204,INV2190,Veum LLC,Delta Doohickey Order,25,Software Develpoment,24-02-2022,29-11-2025,6600,Accepted by Vendor,47,Delivered
205,INV6543,Raynor Group,Epsilon Whatchamacallit Order,74,Management,26-01-2022,05-09-2025,2600,Accepted by Vendor,85,Delivered
206,INV8901,"Durgan, Buckridge and Wyman",Epsilon Whatchamacallit Order,63,Cyber Security,16-02-2022,05-09-2024,4200,Accepted by Vendor,59,Delivered
207,INV6547,Thompson and Sons,Gamma Thingamajig Order,94,Procurement,24-03-2022,03-12-2026,6900,Accepted by Vendor,67,Delivered
208,INV4326,"Rutherford, Daugherty and Raynor",Delta Doohickey Order,89,Finance,22-02-2022,20-01-2025,4700,Accepted by Vendor,92,Delivered
209,INV2109,Gutkowski LLC,Alpha Widget Order,84,Software Develpoment,19-01-2022,10-01-2024,8600,Accepted by Vendor,65,Delivered
210,INV0981,Turner-Lindgren,Beta Gizmo Order,12,Finance,03-01-2022,20-04-2022,5600,Accepted by Vendor,46,Delivered
211,INV1234,Bosco-Ernser,Alpha Widget Order,78,Procurement,04-01-2022,23-11-2022,6800,Accepted by Vendor,97,Delivered
212,INV8765,Rogahn-Hane,Delta Doohickey Order,50,Cyber Security,05-03-2022,30-08-2023,7000,Accepted by Vendor,69,Delivered
213,INV2190,Orn-McClure,Alpha Widget Order,90,Finance,09-03-2022,15-04-2024,5800,Accepted by Vendor,86,Delivered
214,INV0987,Berge-Kassulke,Alpha Widget Order,76,Finance,22-01-2022,10-07-2024,7400,Accepted by Vendor,9,Delivered
215,INV2190,Ankunding Group,Epsilon Whatchamacallit Order,86,HR,30-01-2022,15-08-2024,1125,Accepted by Vendor,66,Delivered
216,INV0123,Jerde-Botsford,Gamma Thingamajig Order,33,Finance,07-02-2022,18-04-2023,1800,Accepted by Vendor,69,Delivered
217,INV8761,Pfeffer LLC,Alpha Widget Order,66,Finance,02-01-2022,01-11-2025,1450,Accepted by Vendor,99,Delivered
218,INV4326,Stracke-Russel,Gamma Thingamajig Order,33,Management,09-02-2022,18-04-2023,5000,Accepted by Vendor,57,Delivered
219,INV8761,Langosh LLC,Epsilon Whatchamacallit Order,60,Network,13-02-2022,01-11-2025,8100,Accepted by Vendor,65,Delivered
220,INV4321,Bashirian LLC,Beta Gizmo Order,32,Software Develpoment,12-01-2022,03-12-2026,1250,Accepted by Vendor,43,Delivered
221,INV0987,Glover and Sons,Beta Gizmo Order,49,Procurement,22-03-2022,15-10-2022,9300,Accepted by Vendor,11,Delivered
222,INV8765,"Goodwin, Trantow and Braun",Delta Doohickey Order,43,Software Develpoment,23-03-2022,10-02-2022,9600,Accepted by Vendor,16,Delivered
223,INV2190,Jacobs-Leffler,Beta Gizmo Order,55,HR,27-03-2022,25-10-2025,7000,Accepted by Vendor,86,Delivered
224,INV8761,Cremin Group,Delta Doohickey Order,89,Finance,04-03-2022,23-11-2022,4700,Accepted by Vendor,53,Delivered
225,INV0987,"Kuhic, Raynor and Langosh",Delta Doohickey Order,52,Cyber Security,03-02-2022,12-05-2022,8100,Accepted by Vendor,55,Delivered
226,INV6543,Heathcote-Ortiz,Alpha Widget Order,71,Finance,07-02-2022,22-04-2025,7900,Accepted by Vendor,85,Delivered
227,INV8765,Thompson-O'Hara,Epsilon Whatchamacallit Order,99,Cyber Security,30-03-2022,30-06-2026,7600,Accepted by Vendor,76,Delivered
228,INV2109,"Runolfsdottir, Kertzmann and Wilkinson",Delta Doohickey Order,58,HR,20-01-2022,25-03-2026,8400,Accepted by Vendor,40,Delivered
229,INV0981,"Hermiston, Leffler and Kuhn",Beta Gizmo Order,68,Network,05-01-2022,20-05-2023,5900,Accepted by Vendor,70,Delivered
230,INV6547,"Ondricka, Gusikowski and Gerlach",Gamma Thingamajig Order,67,Finance,18-01-2022,23-11-2022,8200,Accepted by Vendor,69,Delivered
231,INV8765,"Jones, Farrell and Heidenreich",Gamma Thingamajig Order,6,Finance,22-02-2022,15-12-2026,3300,Accepted by Vendor,60,Delivered
232,INV6547,Rau Group,Epsilon Whatchamacallit Order,91,Software Develpoment,10-01-2022,25-10-2025,6900,Accepted by Vendor,70,Delivered
233,INV8765,"Stark, Ondricka and Klocko",Alpha Widget Order,48,Finance,05-03-2022,28-02-2025,2500,Accepted by Vendor,16,Delivered
234,INV8765,Krajcik-Wisoky,Epsilon Whatchamacallit Order,26,HR,02-02-2022,10-01-2024,1125,Accepted by Vendor,39,Delivered
235,INV6547,Senger and Sons,Gamma Thingamajig Order,30,Procurement,01-03-2022,05-10-2023,4900,Accepted by Vendor,36,Delivered
236,INV8765,Grimes LLC,Epsilon Whatchamacallit Order,68,Network,24-01-2022,03-12-2026,5300,Accepted by Vendor,9,Delivered
237,INV0987,Walsh and Sons,Gamma Thingamajig Order,73,Procurement,05-01-2022,05-06-2024,1900,Accepted by Vendor,59,Delivered
238,INV6547,Sauer Inc,Beta Gizmo Order,78,Procurement,13-02-2022,30-01-2026,1500,Accepted by Vendor,10,Delivered
239,INV4326,Connelly-Kreiger,Delta Doohickey Order,47,Cyber Security,18-02-2022,20-01-2025,1100,Accepted by Vendor,91,Delivered
240,INV0981,"Bosco, Swift and Ortiz",Beta Gizmo Order,57,HR,14-02-2022,15-01-2023,2100,Accepted by Vendor,71,Delivered
241,INV8765,"Heathcote, Brekke and Mertz",Epsilon Whatchamacallit Order,71,Finance,15-03-2022,03-12-2026,4600,Accepted by Vendor,79,Delivered
242,INV4321,Okuneva and Sons,Delta Doohickey Order,40,HR,09-03-2022,18-04-2023,6300,Accepted by Vendor,16,Delivered
243,INV6547,Ratke-Lang,Beta Gizmo Order,51,Procurement,05-02-2022,10-01-2024,1650,Accepted by Vendor,39,Delivered
244,INV8765,Satterfield Group,Epsilon Whatchamacallit Order,5,HR,08-03-2022,03-12-2026,1900,Accepted by Vendor,14,Delivered
245,INV2109,"Carter, Collier and Moen",Beta Gizmo Order,28,Management,08-03-2022,10-11-2023,8100,Accepted by Vendor,87,Delivered
246,INV4321,Hickle and Sons,Delta Doohickey Order,62,Management,04-03-2022,10-07-2024,4400,Accepted by Vendor,89,Delivered
247,INV2190,"Mueller, Brown and Klein",Epsilon Whatchamacallit Order,3,Software Develpoment,09-01-2022,05-10-2023,1350,Accepted by Vendor,31,Delivered
248,INV8761,"Schimmel, Torphy and Rau",Alpha Widget Order,21,Procurement,08-01-2022,30-01-2026,1050,Accepted by Vendor,49,Delivered
249,INV6543,Yost Inc,Gamma Thingamajig Order,88,Procurement,15-02-2022,10-12-2025,6200,Accepted by Vendor,93,Delivered
250,INV6547,Carroll-Funk,Delta Doohickey Order,40,Software Develpoment,18-02-2022,05-06-2024,2200,Accepted by Vendor,69,Delivered
251,INV4326,"Ruecker, Schaefer and Thompson",Gamma Thingamajig Order,83,Network,06-01-2022,03-12-2026,9800,Accepted by Vendor,64,Delivered
252,INV2109,Harvey Group,Alpha Widget Order,40,Network,03-03-2022,15-04-2024,5500,Accepted by Vendor,7,Delivered
253,INV0981,Mills-Ferry,Epsilon Whatchamacallit Order,34,Finance,16-03-2022,20-12-2024,3000,Accepted by Vendor,7,Delivered
254,INV8901,Kuhn LLC,Epsilon Whatchamacallit Order,23,HR,14-01-2022,25-05-2024,1700,Accepted by Vendor,99,Delivered
255,INV2190,"Murazik, Paucek and Kuhic",Alpha Widget Order,84,Cyber Security,12-01-2022,25-02-2023,2500,Accepted by Vendor,72,Delivered
256,INV2109,"Glover, Hane and Collier",Epsilon Whatchamacallit Order,22,Software Develpoment,05-01-2022,10-11-2023,8600,Accepted by Vendor,81,Delivered
257,INV0987,Cummings and Sons,Beta Gizmo Order,72,Management,05-03-2022,28-07-2023,8300,Accepted by Vendor,30,Delivered
258,INV8765,Cartwright-Bechtelar,Epsilon Whatchamacallit Order,37,Software Develpoment,22-03-2022,10-12-2025,3100,Accepted by Vendor,16,Delivered
259,INV2190,Ernser-Mraz,Epsilon Whatchamacallit Order,57,HR,22-03-2022,15-08-2024,5300,Accepted by Vendor,26,Delivered
260,INV0981,Carroll-Lemke,Beta Gizmo Order,98,Network,25-01-2022,30-06-2022,7900,Accepted by Vendor,16,Delivered
261,INV6543,Stark-Schimmel,Gamma Thingamajig Order,90,HR,08-03-2022,10-11-2023,2100,Accepted by Vendor,20,Delivered
262,INV8901,Fritsch-Kassulke,Beta Gizmo Order,24,Procurement,05-01-2022,15-03-2022,8700,Accepted by Vendor,56,Delivered
263,INV2190,Stehr-Littel,Gamma Thingamajig Order,48,HR,17-03-2022,05-09-2024,1800,Accepted by Vendor,100,Delivered
264,INV0987,Lakin-Christiansen,Epsilon Whatchamacallit Order,48,Procurement,19-02-2022,01-11-2025,3700,Accepted by Vendor,23,Delivered
265,INV4321,Funk-Bauch,Delta Doohickey Order,84,Network,15-01-2022,30-06-2026,1500,Accepted by Vendor,16,Delivered
266,INV0981,Blick-Bednar,Epsilon Whatchamacallit Order,85,Network,21-03-2022,15-08-2024,8900,Accepted by Vendor,79,Delivered
267,INV0981,Daugherty Group,Beta Gizmo Order,26,Finance,30-03-2022,05-06-2023,1150,Accepted by Vendor,30,Delivered
268,INV0987,Stiedemann-Ratke,Delta Doohickey Order,78,Network,05-02-2022,20-04-2022,5300,Accepted by Vendor,100,Delivered
269,INV7890,"Swaniawski, Kessler and Mosciski",Beta Gizmo Order,95,Cyber Security,16-01-2022,30-01-2026,3100,Accepted by Vendor,55,Delivered
270,INV2345,Sanford-Wisozk,Epsilon Whatchamacallit Order,96,Procurement,23-01-2022,15-11-2024,1150,Accepted by Vendor,43,Delivered
271,INV2190,"Bogan, Mosciski and Stracke",Alpha Widget Order,33,Cyber Security,14-03-2022,20-05-2023,5300,Accepted by Vendor,62,Delivered
272,INV2109,"Gusikowski, Zboncak and Weissnat",Gamma Thingamajig Order,35,Software Develpoment,15-03-2022,12-05-2022,5100,Accepted by Vendor,12,Delivered
273,INV2190,"Price, Swaniawski and Graham",Epsilon Whatchamacallit Order,13,Finance,19-02-2022,23-11-2022,1650,Accepted by Vendor,80,Delivered
274,INV5678,Kutch-Mertz,Epsilon Whatchamacallit Order,75,Cyber Security,02-03-2022,28-07-2023,9700,Accepted by Vendor,61,Delivered
275,INV8761,"Prosacco, Bode and Wehner",Gamma Thingamajig Order,100,HR,22-03-2022,01-11-2025,5900,Accepted by Vendor,5,Delivered
276,INV4326,"Brakus, Mosciski and Homenick",Alpha Widget Order,69,Finance,07-03-2022,10-01-2024,6100,Accepted by Vendor,96,Delivered
277,INV6543,Paucek and Sons,Alpha Widget Order,49,Cyber Security,15-01-2022,03-12-2026,9000,Accepted by Vendor,14,Delivered
278,INV8761,Schiller and Sons,Gamma Thingamajig Order,56,Cyber Security,28-03-2022,25-05-2025,6000,Accepted by Vendor,3,Delivered
279,INV2109,"Stokes, Koch and Leuschke",Epsilon Whatchamacallit Order,42,Procurement,30-01-2022,05-10-2023,6700,Accepted by Vendor,52,Delivered
280,INV8765,Rowe LLC,Alpha Widget Order,80,Cyber Security,05-03-2022,18-09-2022,1650,Accepted by Vendor,72,Delivered
281,INV4321,"Reynolds, Walsh and MacGyver",Gamma Thingamajig Order,26,Cyber Security,22-03-2022,15-01-2023,9700,Accepted by Vendor,93,Delivered
282,INV4326,"Block, Crist and Zieme",Delta Doohickey Order,33,Software Develpoment,06-03-2022,05-09-2024,4800,Accepted by Vendor,28,Delivered
283,INV6547,Becker and Sons,Beta Gizmo Order,94,Finance,16-02-2022,25-10-2025,7000,Accepted by Vendor,20,Delivered
284,INV6547,Marquardt Inc,Epsilon Whatchamacallit Order,64,Software Develpoment,16-02-2022,30-12-2026,2600,Accepted by Vendor,92,Delivered
285,INV0987,Pfeffer Group,Delta Doohickey Order,72,Finance,27-02-2022,15-08-2024,3500,Accepted by Vendor,72,Delivered
286,INV4326,Jacobson-Pfannerstill,Delta Doohickey Order,59,Software Develpoment,27-02-2022,30-08-2023,8700,Accepted by Vendor,67,Delivered
287,INV6543,Kemmer-Rowe,Beta Gizmo Order,24,HR,12-02-2022,20-12-2024,3400,Accepted by Vendor,37,Delivered
288,INV6543,Bednar Group,Alpha Widget Order,65,Procurement,19-01-2022,05-06-2023,4800,Accepted by Vendor,77,Delivered
289,INV8761,Mueller Group,Delta Doohickey Order,75,Network,06-02-2022,30-12-2026,3100,Accepted by Vendor,83,Delivered
290,INV6543,Balistreri LLC,Epsilon Whatchamacallit Order,78,Network,19-02-2022,05-06-2024,7300,Accepted by Vendor,56,Delivered
291,INV4321,Hermann-Brown,Epsilon Whatchamacallit Order,14,Network,14-02-2022,25-12-2026,9900,Accepted by Vendor,71,Delivered
292,INV0981,"Little, Boyle and Hermiston",Gamma Thingamajig Order,60,HR,26-01-2022,10-02-2022,1750,Accepted by Vendor,75,Delivered
293,INV8765,"Wilderman, Walter and Mante",Delta Doohickey Order,78,Finance,25-02-2022,03-12-2026,1250,Accepted by Vendor,59,Delivered
294,INV4326,Mraz-Schamberger,Epsilon Whatchamacallit Order,60,Network,12-02-2022,20-04-2022,8900,Accepted by Vendor,66,Delivered
295,INV6543,Hudson-Kertzmann,Gamma Thingamajig Order,63,HR,07-03-2022,05-06-2024,1300,Accepted by Vendor,63,Delivered
296,INV2190,"Dietrich, Spinka and Barton",Beta Gizmo Order,40,Procurement,03-03-2022,20-05-2023,3100,Accepted by Vendor,85,Delivered
297,INV2190,Mraz-Bernier,Gamma Thingamajig Order,65,Software Develpoment,06-03-2022,25-03-2026,1350,Accepted by Vendor,99,Delivered
298,INV8765,Mueller-Harris,Alpha Widget Order,20,Management,17-02-2022,30-08-2023,1350,Accepted by Vendor,7,Delivered
299,INV8765,D'Amore-Jerde,Delta Doohickey Order,86,Finance,26-02-2022,03-12-2026,5700,Accepted by Vendor,80,Delivered
300,INV2109,O'Kon-Lehner,Epsilon Whatchamacallit Order,51,Procurement,07-03-2022,10-07-2024,2800,Accepted by Vendor,54,Delivered
301,INV0981,Conroy Group,Gamma Thingamajig Order,43,Management,24-02-2022,05-08-2022,7700,Accepted by Vendor,51,Delivered
302,INV8761,Maggio-Tremblay,Beta Gizmo Order,87,Software Develpoment,12-01-2022,30-06-2026,8700,Accepted by Vendor,99,Delivered
303,INV7890,Boyer-Erdman,Alpha Widget Order,39,Cyber Security,01-03-2022,30-06-2026,4100,Accepted by Vendor,85,Delivered
304,INV8761,Lueilwitz-Hermiston,Beta Gizmo Order,50,Management,13-01-2022,25-05-2025,8400,Accepted by Vendor,47,Delivered
305,INV4326,Huels-Romaguera,Epsilon Whatchamacallit Order,55,Cyber Security,03-03-2022,05-09-2024,7700,Accepted by Vendor,100,Delivered
306,INV2190,"Deckow, Oberbrunner and Keeling",Alpha Widget Order,91,Software Develpoment,02-02-2022,25-05-2025,9400,Accepted by Vendor,38,Delivered
307,INV0987,Bergnaum-Conn,Gamma Thingamajig Order,6,Management,30-03-2022,10-07-2024,7300,Accepted by Vendor,70,Delivered
308,INV8761,"Parker, Daniel and Gibson",Delta Doohickey Order,14,Software Develpoment,25-01-2022,05-09-2024,5800,Accepted by Vendor,6,Delivered
309,INV4326,Osinski and Sons,Beta Gizmo Order,95,Network,10-01-2022,15-03-2022,6800,Accepted by Vendor,23,Delivered
310,INV2109,Considine and Sons,Delta Doohickey Order,70,HR,02-02-2022,30-08-2023,1250,Accepted by Vendor,34,Delivered
311,INV8765,Kunde-Schinner,Beta Gizmo Order,22,Management,23-02-2022,10-02-2022,1350,Accepted by Vendor,36,Delivered
312,INV4321,"Huels, Hermiston and Roob",Alpha Widget Order,84,Procurement,30-03-2022,07-07-2022,5800,Accepted by Vendor,96,Delivered
313,INV6547,"Daniel, Mayert and Vandervort",Epsilon Whatchamacallit Order,67,Cyber Security,08-03-2022,20-12-2023,5300,Accepted by Vendor,57,Delivered
314,INV6547,Yost Group,Gamma Thingamajig Order,69,Finance,12-02-2022,10-11-2023,7200,Accepted by Vendor,59,Delivered
315,INV6547,"Fisher, West and Simonis",Delta Doohickey Order,79,Procurement,10-03-2022,25-05-2024,3800,Accepted by Vendor,37,Delivered
316,INV4321,Orn-Batz,Epsilon Whatchamacallit Order,38,Network,14-02-2022,20-01-2025,2000,Accepted by Vendor,79,Delivered
317,INV6547,Adams-Schaden,Gamma Thingamajig Order,81,Procurement,20-03-2022,25-10-2025,8500,Accepted by Vendor,56,Delivered
318,INV8761,Marks and Sons,Delta Doohickey Order,25,HR,02-02-2022,05-09-2024,7900,Accepted by Vendor,3,Delivered
319,INV0987,Torp-Heaney,Gamma Thingamajig Order,46,Finance,24-02-2022,05-06-2024,8800,Accepted by Vendor,63,Delivered
320,INV4567,Conn-Hamill,Epsilon Whatchamacallit Order,46,Cyber Security,10-03-2022,25-10-2025,3800,Accepted by Vendor,22,Delivered
321,INV8761,Ward and Sons,Beta Gizmo Order,67,Management,11-02-2022,22-03-2024,2400,Accepted by Vendor,6,Delivered
322,INV4326,Jones-Gislason,Delta Doohickey Order,52,Network,10-02-2022,22-04-2025,8000,Accepted by Vendor,10,Delivered
323,INV4321,Oberbrunner Inc,Gamma Thingamajig Order,46,Cyber Security,29-01-2022,28-07-2023,3200,Accepted by Vendor,97,Delivered
324,INV6543,Simonis and Sons,Epsilon Whatchamacallit Order,50,HR,12-03-2022,30-04-2026,7100,Accepted by Vendor,33,Delivered
325,INV7890,"Gusikowski, Upton and Bauch",Alpha Widget Order,36,Procurement,04-02-2022,20-12-2026,6900,Accepted by Vendor,19,Delivered
326,INV8765,Dickens Group,Alpha Widget Order,65,Cyber Security,24-01-2022,25-05-2025,3400,Accepted by Vendor,11,Delivered
327,INV8901,Zieme Group,Beta Gizmo Order,52,Software Develpoment,11-02-2022,12-05-2022,5600,Accepted by Vendor,91,Delivered
328,INV8765,"Reinger, Jerde and Hauck",Gamma Thingamajig Order,50,Procurement,08-01-2022,03-12-2026,1150,Accepted by Vendor,60,Delivered
329,INV2109,Wolff Inc,Delta Doohickey Order,45,Software Develpoment,13-01-2022,25-05-2025,1250,Accepted by Vendor,16,Delivered
330,INV8761,"Ortiz, Stoltenberg and Morar",Gamma Thingamajig Order,29,Software Develpoment,03-01-2022,30-06-2026,7500,Accepted by Vendor,88,Delivered
331,INV5678,"Auer, Turcotte and Wolf",Beta Gizmo Order,98,Management,14-01-2022,15-08-2024,3300,Accepted by Vendor,5,Delivered
332,INV4326,Yundt-Lind,Alpha Widget Order,77,Cyber Security,17-02-2022,15-01-2023,1750,Accepted by Vendor,30,Delivered
333,INV9876,"Hilll, Swift and Swaniawski",Delta Doohickey Order,22,Finance,12-02-2022,15-03-2022,1150,Accepted by Vendor,68,Delivered
334,INV4326,Roberts Inc,Gamma Thingamajig Order,41,Cyber Security,21-01-2022,14-09-2023,5100,Accepted by Vendor,73,Delivered
335,INV8765,Heaney and Sons,Alpha Widget Order,57,Network,28-02-2022,15-04-2024,4700,Accepted by Vendor,35,Delivered
336,INV0987,Sipes-Kautzer,Gamma Thingamajig Order,36,Finance,26-03-2022,30-04-2026,1450,Accepted by Vendor,75,Delivered
337,INV4321,Haley-Stanton,Gamma Thingamajig Order,39,Finance,27-03-2022,15-10-2022,6000,Accepted by Vendor,79,Delivered
338,INV2190,"Morar, Jacobson and Beer",Delta Doohickey Order,23,Finance,29-03-2022,15-03-2022,3200,Accepted by Vendor,74,Delivered
339,INV0981,Beer Inc,Alpha Widget Order,36,HR,03-02-2022,10-07-2024,7200,Accepted by Vendor,10,Delivered
340,INV8765,Bartoletti-Bogan,Gamma Thingamajig Order,94,Procurement,03-03-2022,30-08-2023,1225,Accepted by Vendor,82,Delivered
341,INV6547,Morar Group,Epsilon Whatchamacallit Order,19,Finance,24-03-2022,30-06-2022,9600,Accepted by Vendor,32,Delivered
342,INV6547,Koch and Sons,Beta Gizmo Order,96,Management,26-02-2022,30-04-2026,5700,Accepted by Vendor,98,Delivered
343,INV8761,Boyle-Herman,Epsilon Whatchamacallit Order,71,Software Develpoment,12-02-2022,30-12-2022,4500,Accepted by Vendor,92,Delivered
344,INV8901,"Mitchell, Bode and Heller",Beta Gizmo Order,78,HR,06-02-2022,30-06-2026,2600,Accepted by Vendor,46,Delivered
345,INV6547,Walsh-Hoppe,Delta Doohickey Order,48,Network,17-03-2022,10-02-2022,8100,Accepted by Vendor,7,Delivered
346,INV4321,"Kihn, Koch and Christiansen",Alpha Widget Order,7,Network,14-01-2022,25-02-2023,4400,Accepted by Vendor,19,Delivered
347,INV2345,Donnelly LLC,Alpha Widget Order,28,Finance,21-03-2022,15-04-2024,6100,Accepted by Vendor,48,Delivered
348,INV8761,Flatley-Kub,Epsilon Whatchamacallit Order,12,Software Develpoment,23-02-2022,18-02-2024,2200,Accepted by Vendor,36,Delivered
349,INV8761,"Durgan, Bednar and Bins",Epsilon Whatchamacallit Order,24,Procurement,02-01-2022,05-06-2023,8400,Accepted by Vendor,97,Delivered
350,INV6543,"Buckridge, Lang and Armstrong",Epsilon Whatchamacallit Order,47,Cyber Security,03-01-2022,30-12-2025,4800,Accepted by Vendor,82,Delivered
351,INV8765,"Heller, Ferry and Becker",Beta Gizmo Order,33,Software Develpoment,13-02-2022,20-01-2025,9600,Accepted by Vendor,6,Delivered
352,INV8761,Simonis LLC,Gamma Thingamajig Order,41,Network,17-02-2022,30-06-2022,2100,Accepted by Vendor,7,Delivered
353,INV2109,Considine-Howe,Beta Gizmo Order,75,Cyber Security,07-01-2022,18-02-2026,8900,Accepted by Vendor,94,Delivered
354,INV2109,Herman-Walker,Alpha Widget Order,43,HR,27-03-2022,10-01-2024,1150,Accepted by Vendor,39,Delivered
355,INV8765,"Dare, Senger and Quitzon",Alpha Widget Order,17,Network,06-01-2022,25-10-2025,8300,Accepted by Vendor,96,Delivered
356,INV8761,Ward Inc,Delta Doohickey Order,76,Network,07-02-2022,03-12-2026,6300,Accepted by Vendor,14,Delivered
357,INV8765,"Franecki, Kassulke and Nienow",Delta Doohickey Order,88,HR,29-01-2022,10-03-2023,4600,Accepted by Vendor,37,Delivered
358,INV0981,Harber and Sons,Epsilon Whatchamacallit Order,78,Procurement,05-01-2022,30-12-2022,9700,Accepted by Vendor,85,Delivered
359,INV4567,Kerluke-Roob,Beta Gizmo Order,3,Finance,18-01-2022,10-11-2023,2300,Accepted by Vendor,67,Delivered
360,INV7890,Dooley-Hahn,Alpha Widget Order,95,Cyber Security,28-03-2022,22-03-2024,6600,Accepted by Vendor,86,Delivered
361,INV4321,Predovic Group,Alpha Widget Order,74,Management,12-03-2022,10-10-2024,4600,Accepted by Vendor,14,Delivered
362,INV6543,Schoen Group,Epsilon Whatchamacallit Order,50,Management,29-01-2022,05-09-2025,7800,Accepted by Vendor,92,Delivered
363,INV2190,"Quitzon, Towne and Kiehn",Gamma Thingamajig Order,31,Cyber Security,22-02-2022,15-10-2022,1225,Accepted by Vendor,90,Delivered
364,INV2109,Gerlach-Langosh,Delta Doohickey Order,78,Procurement,19-03-2022,15-03-2022,8400,Accepted by Vendor,71,Delivered
365,INV4321,Shields-Kunze,Beta Gizmo Order,15,Management,25-01-2022,05-06-2023,1750,Accepted by Vendor,96,Delivered
366,INV4321,Robel Group,Alpha Widget Order,47,Cyber Security,10-02-2022,20-05-2023,5200,Accepted by Vendor,58,Delivered
367,INV6547,Bruen and Sons,Gamma Thingamajig Order,32,Procurement,28-03-2022,28-02-2025,6600,Accepted by Vendor,70,Delivered
368,INV6547,Stanton LLC,Beta Gizmo Order,97,Finance,06-02-2022,07-07-2022,2600,Accepted by Vendor,99,Delivered
369,INV6547,Daniel Group,Alpha Widget Order,79,HR,24-01-2022,15-10-2022,3200,Accepted by Vendor,77,Delivered
370,INV6547,Buckridge Group,Delta Doohickey Order,47,Finance,02-02-2022,30-06-2022,1900,Accepted by Vendor,64,Delivered
371,INV6543,"Hammes, Klocko and Schowalter",Beta Gizmo Order,54,Finance,22-01-2022,05-08-2022,4000,Accepted by Vendor,62,Delivered
372,INV9012,Rohan-Moore,Gamma Thingamajig Order,95,HR,22-03-2022,05-06-2024,1400,Accepted by Vendor,71,Delivered
373,INV4326,Ledner LLC,Beta Gizmo Order,10,Software Develpoment,18-02-2022,15-03-2025,2300,Accepted by Vendor,7,Delivered
374,INV2109,Hintz-Nicolas,Beta Gizmo Order,14,Management,16-02-2022,25-10-2025,1125,Accepted by Vendor,100,Delivered
375,INV4321,Beier-O'Kon,Beta Gizmo Order,15,HR,14-03-2022,15-12-2026,3900,Accepted by Vendor,81,Delivered
376,INV0987,Dare-Schinner,Gamma Thingamajig Order,65,Finance,02-01-2022,20-12-2024,8000,Accepted by Vendor,45,Delivered
377,INV2109,"Cruickshank, Hayes and Hyatt",Epsilon Whatchamacallit Order,83,Software Develpoment,10-01-2022,05-10-2023,4300,Accepted by Vendor,51,Delivered
378,INV6547,Krajcik-Wolf,Gamma Thingamajig Order,56,Procurement,13-01-2022,01-11-2025,6000,Accepted by Vendor,45,Delivered
379,INV4326,"Considine, Shanahan and Nicolas",Beta Gizmo Order,69,Cyber Security,27-02-2022,22-03-2024,4300,Accepted by Vendor,80,Delivered
380,INV1234,Walsh LLC,Alpha Widget Order,35,Software Develpoment,06-03-2022,18-02-2026,5600,Accepted by Vendor,19,Delivered
381,INV0981,"Deckow, Koelpin and Rau",Alpha Widget Order,51,Management,10-02-2022,30-12-2026,3100,Accepted by Vendor,87,Delivered
382,INV8761,Kuhlman Group,Beta Gizmo Order,50,Software Develpoment,19-01-2022,20-04-2022,9300,Accepted by Vendor,33,Delivered
383,INV3456,Lynch-Blick,Alpha Widget Order,74,Software Develpoment,19-03-2022,18-09-2022,7700,Accepted by Vendor,57,Delivered
384,INV8765,"Schimmel, Hermiston and Cruickshank",Gamma Thingamajig Order,62,Network,24-03-2022,22-03-2024,7200,Accepted by Vendor,55,Delivered
385,INV6547,"Wilderman, Rau and Fay",Alpha Widget Order,92,Network,25-01-2022,18-04-2023,2200,Accepted by Vendor,13,Delivered
386,INV6543,Jaskolski Inc,Epsilon Whatchamacallit Order,28,Procurement,20-03-2022,25-02-2023,1700,Accepted by Vendor,78,Delivered
